Month,Jylland + Fyn,Sjælland + Øer
2024-03,0.565,0.568
2024-04,0.559,0.573
2024-05,0.549,0.545
2024-06,0.602,0.631
2024-07,0.581,0.590
2024-08,0.682,0.679
2024-09,0.676,0.663
2024-10,0.718,0.715
2024-11,0.895,0.888
2024-12,0.856,0.865
2025-01,0.915,0.934
2025-02,1.052,1.100
2025-03,0.789,0.773
2025-04,0.715,0.709
2025-05,0.606,0.591
2025-06,0.559,0.534
2025-07,0.787,0.747
2025-08,0.698,0.706
2025-09,0.687,0.779
2025-10,0.732,0.769
2025-11,0.867,0.875
2025-12,0.770,0.766
2026-01,0.986,1.026
2026-02,0.897,1.059
2026-03,1.051,1.045
